Date,Count
04/04/2026,"2,949,192"
04/03/2026,"3,584,317"
04/02/2026,"3,897,864"
04/01/2026,"4,232,444"
03/31/2026,"4,383,375"
03/30/2026,"3,997,972"
03/29/2026,"2,203,041"
03/28/2026,"2,929,305"
03/27/2026,"4,018,542"
03/26/2026,"4,431,610"
03/25/2026,"4,402,185"
03/24/2026,"4,385,137"
03/23/2026,"3,888,821"
03/22/2026,"2,121,729"
03/21/2026,"2,811,993"
03/20/2026,"3,784,106"
03/19/2026,"4,482,768"
03/18/2026,"4,510,854"
03/17/2026,"4,469,055"
03/16/2026,"3,857,027"
03/15/2026,"2,284,838"
03/14/2026,"2,883,522"
03/13/2026,"4,099,078"
03/12/2026,"4,360,259"
03/11/2026,"4,423,114"
03/10/2026,"4,429,117"
03/09/2026,"4,017,877"
03/08/2026,"2,118,735"
03/07/2026,"2,773,292"
03/06/2026,"4,001,475"
03/05/2026,"4,249,962"
03/04/2026,"4,389,363"
03/03/2026,"4,204,675"
03/02/2026,"3,977,302"
03/01/2026,"2,092,624"
02/28/2026,"2,839,556"
02/27/2026,"4,070,331"
02/26/2026,"4,373,179"
02/25/2026,"4,139,212"
02/24/2026,"3,487,403"
02/23/2026,"830,660"
02/22/2026,"1,439,320"
02/21/2026,"2,710,824"
02/20/2026,"3,550,862"
02/19/2026,"4,052,265"
02/18/2026,"3,974,070"
02/17/2026,"3,797,796"
02/16/2026,"2,560,717"
02/15/2026,"2,247,495"
02/14/2026,"2,839,785"
02/13/2026,"4,034,457"
02/12/2026,"4,266,487"
02/11/2026,"4,377,163"
02/10/2026,"4,283,901"
02/09/2026,"3,807,229"
02/08/2026,"1,769,698"
02/07/2026,"2,358,946"
02/06/2026,"4,020,646"
02/05/2026,"4,432,406"
02/04/2026,"4,439,787"
02/03/2026,"4,397,644"
02/02/2026,"3,985,895"
02/01/2026,"1,981,353"
01/31/2026,"2,581,424"
01/30/2026,"3,957,935"
01/29/2026,"4,395,790"
01/28/2026,"4,332,658"
01/27/2026,"4,059,702"
01/26/2026,"1,755,760"
01/25/2026,"819,623"
01/24/2026,"2,221,402"
01/23/2026,"3,776,980"
01/22/2026,"4,121,459"
01/21/2026,"4,025,339"
01/20/2026,"3,877,447"
01/19/2026,"2,453,300"
01/18/2026,"1,892,975"
01/17/2026,"2,366,112"
01/16/2026,"3,777,244"
01/15/2026,"4,122,446"
01/14/2026,"4,123,499"
01/13/2026,"4,108,806"
01/12/2026,"3,770,308"
01/11/2026,"1,978,534"
01/10/2026,"2,395,364"
01/09/2026,"3,763,800"
01/08/2026,"4,096,415"
01/07/2026,"4,074,540"
01/06/2026,"3,973,013"
01/05/2026,"3,650,793"
01/04/2026,"1,934,593"
01/03/2026,"2,478,271"
01/02/2026,"3,120,979"
01/01/2026,"2,016,827"
12/31/2025,"3,084,643"
12/30/2025,"3,554,107"
12/29/2025,"3,297,161"
12/28/2025,"2,180,348"
12/27/2025,"2,219,293"
12/26/2025,"2,695,535"
12/25/2025,"1,511,985"
12/24/2025,"2,853,461"
12/23/2025,"3,602,331"
12/22/2025,"3,869,528"
12/21/2025,"2,390,530"
12/20/2025,"2,981,831"
12/19/2025,"3,888,599"
12/18/2025,"4,499,832"
12/17/2025,"4,493,497"
12/16/2025,"4,478,870"
12/15/2025,"4,071,120"
12/14/2025,"2,275,321"
12/13/2025,"3,223,814"
12/12/2025,"4,342,252"
12/11/2025,"4,654,787"
12/10/2025,"4,570,883"
12/09/2025,"4,498,157"
12/08/2025,"4,146,910"
12/07/2025,"2,417,625"
12/06/2025,"3,167,060"
12/05/2025,"4,245,175"
12/04/2025,"4,625,030"
12/03/2025,"4,602,770"
12/02/2025,"4,133,004"
12/01/2025,"4,006,207"
